No.,Season,#,Title,Directed by,Written by,U.S. viewers (million),Rank (week),Original air date
1,1,1,"""Everybody Lies""",Bryan Singer,David Shore,7.05,62,"November 16, 2004"
2,1,2,"""Paternity""",Peter O'Fallon,Lawrence Kaplow,6.09,68,"November 23, 2004"
3,1,3,"""Occam's Razor""",Bryan Singer,David Shore,6.33,67,"November 30, 2004"
4,1,4,"""Maternity""",Newton Thomas Sigel,Peter Blake,6.74,61,"December 7, 2004"
5,1,5,"""Damned If You Do""",Greg Yaitanes,Sara B. Cooper,6.91,56,"December 14, 2004"
6,1,6,"""The Socratic Method""",Peter Medak,John Mankiewicz,6.73,50,"December 21, 2004"
7,1,7,"""Fidelity""",Bryan Spicer,Thomas L. Moran,6.91,53,"December 28, 2004"
8,1,8,"""Poison""",Guy Ferland,Matt Witten,12.37,25,"January 25, 2005"
9,1,9,"""DNR""",Frederick King Keller,David Foster,12.75,14,"February 1, 2005"
10,1,10,"""Histories""",Dan Attias,Joel Thompson,14.97,15,"February 8, 2005"
11,1,11,"""Detox""",Nelson McCormick,"Lawrence Kaplow, Thomas L. Moran",14.22,17,"February 15, 2005"
12,1,12,"""Sports Medicine""",Keith Gordon,"John Mankiewicz, David Shore",15.53,13,"February 22, 2005"
13,1,13,"""Cursed""",Daniel Sackheim,"Matt Witten, Peter Blake",15.53,12,"March 1, 2005"
14,1,14,"""Control""",Randy Zisk,Lawrence Kaplow,17.33,4,"March 15, 2005"
15,1,15,"""Mob Rules""",Tim Hunter,"David Foster, John Mankiewicz",17.34,7,"March 22, 2005"
16,1,16,"""Heavy""",Fred Gerber,Thomas L. Moran,18.28,7,"March 29, 2005"
17,1,17,"""Role Model""",Peter O'Fallon,Matt Witten,15.04,11,"April 12, 2005"
18,1,18,"""Babies, Bathwater""",Bill Johnson,"Peter Blake, David Shore",17.48,8,"April 19, 2005"
19,1,19,"""Kids""",Deran Sarafian,"Thomas L. Moran, Lawrence Kaplow",17.14,12,"May 3, 2005"
20,1,20,"""Love Hurts""",Bryan Spicer,Sara B. Cooper,18.8,10,"May 10, 2005"
21,1,21,"""Three Stories""",Paris Barclay,David Shore,17.68,14,"May 17, 2005"
22,1,22,"""Honeymoon""",Frederick King Keller,"Lawrence Kaplow, John Mankiewicz",19.52,5,"May 24, 2005"
23,2,1,"""Acceptance""",Dan Attias,Russel Friend & Garrett Lerner,15.91,4,"September 13, 2005"
24,2,2,"""Autopsy""",Deran Sarafian,Lawrence Kaplow,13.64,19,"September 20, 2005"
25,2,3,"""Humpty Dumpty""",Dan Attias,Matt Witten,13.37,17,"September 27, 2005"
26,2,4,"""TB or Not TB""",Peter O'Fallon,David Foster,12.18,23,"November 1, 2005"
27,2,5,"""Daddy's Boy""",Greg Yaitanes,Thomas L. Moran,14.15,19,"November 8, 2005"
28,2,6,"""Spin""",Fred Gerber,Sara Hess,12.95,18,"November 15, 2005"
29,2,7,"""Hunting""",Gloria Muzio,Liz Friedman,14.72,15,"November 22, 2005"
30,2,8,"""The Mistake""",David Semel,Peter Blake,14.91,19,"November 29, 2005"
31,2,9,"""Deception""",Deran Sarafian,Michael R. Perry,14.52,7,"December 13, 2005"
32,2,10,"""Failure to Communicate""",Jace Alexander,Doris Egan,14.83,15,"January 10, 2006"
33,2,11,"""Need to Know""",David Semel,Pamela Davis,22.24,8,"February 7, 2006"
34,2,12,"""Distractions""",Dan Attias,Lawrence Kaplow,19.2,10,"February 14, 2006"
35,2,13,"""Skin Deep""",Jim Hayman,"Russel Friend, Garrett Lerner, David Shore",14.18,17,"February 20, 2006"
36,2,14,"""Sex Kills""",David Semel,Matt Witten,20.56,7,"March 7, 2006"
37,2,15,"""Clueless""",Deran Sarafian,Thomas L. Moran,21.44,6,"March 28, 2006"
38,2,16,"""Safe""",Felix Alcala,Peter Blake,22.71,4,"April 4, 2006"
39,2,17,"""All In""",Fred Gerber,David Foster,21.2,4,"April 11, 2006"
40,2,18,"""Sleeping Dogs Lie""",Greg Yaitanes,Sara Hess,22.64,3,"April 18, 2006"
41,2,19,"""House vs. God""",John F. Showalter,Doris Egan,24.52,4,"April 25, 2006"
42,2,20,"""Euphoria (Part 1)""",Deran Sarafian,Matthew V. Lewis,22.71,4,"May 2, 2006"
43,2,21,"""Euphoria (Part 2)""",Deran Sarafian,"Russel Friend, Garrett Lerner, David Shore",17.16,9,"May 3, 2006"
44,2,22,"""Forever""",Daniel Sackheim,Liz Friedman,24.29,4,"May 9, 2006"
45,2,23,"""Who's Your Daddy?""",Martha Mitchell,"Charles M. Duncan, John Mankiewicz, Lawrence Kaplow",22.38,6,"May 16, 2006"
46,2,24,"""No Reason""",David Shore,"Lawrence Kaplow, David Shore",25.47,3,"May 23, 2006"
47,3,1,"""Meaning""",Deran Sarafian,"Russel Friend, Garrett Lerner, Lawrence Kaplow, David Shore",19.55,2,"September 5, 2006"
48,3,2,"""Cane and Able""",Daniel Sackheim,"Russel Friend, Garrett Lerner, Lawrence Kaplow, David Shore",15.74,14,"September 12, 2006"
49,3,3,"""Informed Consent""",Laura Innes,David Foster,13.67,21,"September 19, 2006"
50,3,4,"""Lines in the Sand""",Newton Thomas Sigel,David Hoselton,14.52,16,"September 26, 2006"
51,3,5,"""Fools for Love""",David Platt,Peter Blake,14.18,18,"October 31, 2006"
52,3,6,"""Que Será Será""",Deran Sarafian,Thomas L. Moran,16.11,13,"November 7, 2006"
53,3,7,"""Son of Coma Guy""",Dan Attias,Doris Egan,14.6,19,"November 14, 2006"
54,3,8,"""Whac-A-Mole""",Daniel Sackheim,Pamela Davis,15.2,11,"November 21, 2006"
55,3,9,"""Finding Judas""",Deran Sarafian,Sara Hess,17.3,5,"November 28, 2006"
56,3,10,"""Merry Little Christmas""",Tony To,Liz Friedman,11.77,18,"December 12, 2006"
57,3,11,"""Words and Deeds""",Daniel Sackheim,Leonard Dick,17.78,5,"January 9, 2007"
58,3,12,"""One Day, One Room""",Juan J. Campanella,David Shore,27.34,7,"January 30, 2007"
59,3,13,"""Needle in a Haystack""",Peter O'Fallon,David Foster,24.88,4,"February 6, 2007"
60,3,14,"""Insensitive""",Deran Sarafian,Matthew V. Lewis,25.99,3,"February 13, 2007"
61,3,15,"""Half-Wit""",Katie Jacobs,Lawrence Kaplow,24.4,4,"March 6, 2007"
62,3,16,"""Top Secret""",Deran Sarafian,Thomas L. Moran,20.8,4,"March 27, 2007"
63,3,17,"""Fetal Position""",Matt Shakman,"Russel Friend, Garrett Lerner",20.35,4,"April 3, 2007"
64,3,18,"""Airborne""",Elodie Keene,David Hoselton,21.57,4,"April 10, 2007"
65,3,19,"""Act Your Age""",Daniel Sackheim,Sara Hess,22.41,3,"April 17, 2007"
66,3,20,"""House Training""",Paul McCrane,Doris Egan,20.81,3,"April 24, 2007"
67,3,21,"""Family""",David Straiton,Liz Friedman,21.13,4,"May 1, 2007"
68,3,22,"""Resignation""",Martha Mitchell,Pamela Davis,21.36,3,"May 8, 2007"
69,3,23,"""The Jerk""",Daniel Sackheim,Leonard Dick,21.19,4,"May 15, 2007"
70,3,24,"""Human Error""",Katie Jacobs,"Thomas L. Moran, Lawrence Kaplow",17.23,1,"May 29, 2007"
71,4,1,"""Alone""",Deran Sarafian,"Peter Blake, David Shore",14.52,16,"September 25, 2007"
72,4,2,"""The Right Stuff""",Deran Sarafian,"Doris Egan,  Leonard Dick",17.44,6,"October 2, 2007"
73,4,3,"""97 Seconds""",David Platt,"Russel Friend, Garrett Lerner",18.03,5,"October 9, 2007"
74,4,4,"""Guardian Angels""",Deran Sarafian,David Hoselton,18.1,5,"October 23, 2007"
75,4,5,"""Mirror Mirror""",David Platt,David Foster,17.29,7,"October 30, 2007"
76,4,6,"""Whatever It Takes""",Juan J. Campanella,"Thomas L. Moran, Peter Blake",18.17,6,"November 6, 2007"
77,4,7,"""Ugly""",David Straiton,Sean Whitesell,16.95,6,"November 13, 2007"
78,4,8,"""You Don't Want to Know""",Lesli Linka Glatter,Sara Hess,16.88,6,"November 20, 2007"
79,4,9,"""Games""",Deran Sarafian,Eli Attie,16.96,7,"November 27, 2007"
80,4,10,"""It's a Wonderful Lie""",Matt Shakman,Pamela Davis,22.56,6,"January 29, 2008"
81,4,11,"""Frozen""",David Straiton,Liz Friedman,29.04,3,"February 3, 2008"
82,4,12,"""Don't Ever Change""",Deran Sarafian,"Doris Egan, Leonard Dick",23.15,3,"February 5, 2008"
83,4,13,"""No More Mr. Nice Guy""",Deran Sarafian,"David Hoselton, David Shore",14.51,,"April 28, 2008"
84,4,14,"""Living the Dream""",David Straiton,"Sara Hess, Liz Friedman",13.26,,"May 5, 2008"
85,4,15,"""House's Head""",Greg Yaitanes,"Peter Blake, David Foster, Russel Friend, Garrett Lerner, Doris Egan",14.84,9,"May 12, 2008"
86,4,16,"""Wilson's Heart""",Katie Jacobs,"Peter Blake, David Foster, Russel Friend, Garrett Lerner",16.16,7,"May 19, 2008"
87,5,1,"""Dying Changes Everything""",Deran Sarafian,Eli Attie,14.77,2,"September 16, 2008"
88,5,2,"""Not Cancer""",David Straiton,"David Shore, Lawrence Kaplow",12.37,15,"September 23, 2008"
89,5,3,"""Adverse Events""",Andrew Bernstein,"Carol Green, Dustin Paddock",12.97,13,"September 30, 2008"
90,5,4,"""Birthmarks""",David Platt,"Doris Egan, David Foster",13.26,10,"October 14, 2008"
91,5,5,"""Lucky Thirteen""",Greg Yaitanes,"Liz Friedman, Sara Hess",13.08,16,"October 21, 2008"
92,5,6,"""Joy""",Deran Sarafian,David Hoselton,13.49,13,"October 28, 2008"
93,5,7,"""The Itch""",Greg Yaitanes,Peter Blake,13.06,14,"November 11, 2008"
94,5,8,"""Emancipation""",Jim Hayman,"Pamela Davis, Leonard Dick",13.26,13,"November 18, 2008"
95,5,9,"""Last Resort""",Katie Jacobs,"Matthew V. Lewis, Eli Attie",12.87,11,"November 25, 2008"
96,5,10,"""Let Them Eat Cake""",Deran Sarafian,Russel Friend & Garrett Lerner,12.51,12,"December 2, 2008"
97,5,11,"""Joy to the World""",David Straiton,Peter Blake,14.05,7,"December 9, 2008"
98,5,12,"""Painless""",Andrew Bernstein,"Thomas L. Moran, Eli Attie",15.02,5,"January 19, 2009"
99,5,13,"""Big Baby""",Deran Sarafian,"Lawrence Kaplow, David Foster",15.69,9,"January 26, 2009"
100,5,14,"""The Greater Good""",Lesli Linka Glatter,Sara Hess,14.87,8,"February 2, 2009"
101,5,15,"""Unfaithful""",Greg Yaitanes,David Hoselton,14.19,10,"February 16, 2009"
102,5,16,"""The Softer Side""",Deran Sarafian,Liz Friedman,14.85,6,"February 23, 2009"
103,5,17,"""The Social Contract""",Andrew Bernstein,Doris Egan,12.38,16,"March 9, 2009"
104,5,18,"""Here Kitty""",Juan J. Campanella,Peter Blake,13.13,12,"March 16, 2009"
